,Company,Ticker,Stock Price,Trailing P/E Ratio,Shares Held by Institutions,% Float Held by Institutions,Forward Divident Yield,Forward Dividend,Last Year Dividend,2021 Dividend,2020 Dividend,2019 Dividend
53,Allegiant Travel Company (ALGT),ALGT,81.10,76.30,88.21%,,,,0.0,0.0,0.7,2.8
54,"Alimera Sciences, Inc. (ALIM)",ALIM,2.7500,,30.57%,,,,0.0,0.0,0.0,0.0
55,Alkermes plc (ALKS),ALKS,27.56,,99.58%,,,,0.0,0.0,0.0,0.0
56,Allot Ltd. (ALLT),ALLT,3.4000,,74.40%,,,,0.0,0.0,0.0,0.0
57,"Alnylam Pharmaceuticals, Inc. (ALNY)",ALNY,229.84,,97.70%,,,,0.0,0.0,0.0,0.0
58,"AstroNova, Inc. (ALOT)",ALOT,13.22,185.71,46.25%,,,,0.0,0.0,0.07,0.35000000000000003
59,Altair Engineering Inc. (ALTR),ALTR,49.85,,99.06%,,,,0.0,0.0,0.0,0.0
60,"Applied Materials, Inc. (AMAT)",AMAT,110.20,14.01,82.68%,,1.06%,1.04,1.02,0.94,0.87,0.83
61,"Ambarella, Inc. (AMBA)",AMBA,85.37,,81.57%,,,,0.0,0.0,0.0,0.0
62,"Ambac Financial Group, Inc. (AMBC)",AMBC,16.81,2.40,72.20%,,,,0.0,0.0,0.0,0.0
63,Andatee China Marine Fuel Services Corporation (AMCF),AMCF,0.0001,,0.00%,,,,0.0,0.0,0.0,0.0
64,AMC Networks Inc. (AMCX),AMCX,17.87,2.57,87.18%,,,,0.0,0.0,0.0,0.0
65,"Advanced Micro Devices, Inc. (AMD)",AMD,70.80,39.24,71.83%,,,,0.0,0.0,0.0,0.0
66,"Amedisys, Inc. (AMED)",AMED,83.60,22.32,99.85%,,,,0.0,0.0,0.0,0.0
